training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.2725606,-7.5752025,2.2725606,0.05592361,34.956238,1.0,-34.956238,1.0,1.1536134,0.0,-28.320889,-76.00309,3.8981128,-5.442016,54.05707,0.64301986,-27.903984,-75.75836,0.06532659,3.2901394,-7.63381,2.2901433,0.07057549,33.799126,0.9999962,-33.798996,1.0,54.126427,0.0,-28.173828,-75.743515,1.2046245,-27.778265,-75.440155,0.061309323,0.0750416084766388,4172.316586017609,55000
3.2799015,-7.599672,2.2799015,0.06204091,34.170547,1.0,-34.170547,1.0,0.9764402,0.0,-26.80933,-75.833176,5.3305063,-6.185061,85.371735,0.85826755,-26.350908,-75.767044,0.08530928,3.2905068,-7.635044,2.2905133,0.07088396,34.595654,0.9999935,-34.59543,1.0,54.901196,0.0,-28.0049,-76.63705,0.84962356,-27.658457,-76.395355,0.063858986,0.07501251049041747,4547.379150390625,60000
3.2791889,-7.5972958,2.2791889,0.061447002,35.33693,1.0,-35.33693,1.0,0.9040313,0.0,-27.09183,-77.69767,3.069849,-2.624786,46.774258,0.9530097,-26.687748,-77.47204,0.08776978,3.2929742,-7.643294,2.2929883,0.072946355,35.032238,0.99998593,-35.031746,1.0,59.064453,0.0,-28.992935,-77.76109,1.159861,-28.58942,-77.54129,0.066224396,0.07504691386222839,4922.613727807999,65000
3.2734084,-7.5780444,2.2734134,0.05663406,35.309975,0.9999951,-35.309803,1.0,0.89160085,0.0,-29.696173,-77.980804,1.9668667,-3.5138884,44.387894,0.6386562,-29.288082,-77.82116,0.08031841,3.2909193,-7.636407,2.2909222,0.07122467,35.046608,0.99999726,-35.046513,1.0,64.08646,0.0,-29.536648,-75.76507,0.5496668,-29.147018,-75.44469,0.06843364,0.07508296685218811,5298.028574705124,70000
3.2729707,-7.5765686,2.2729707,0.05626508,34.117683,1.0,-34.117683,1.0,0.9226184,0.0,-29.957987,-77.898506,2.079436,-3.2773087,34.444366,0.51690865,-29.53308,-77.69332,0.07420308,3.2993884,-7.6646576,2.2993975,0.07828738,35.067696,0.99999106,-35.067383,1.0,64.592545,0.0,-28.539963,-78.05695,0.88867927,-28.089151,-77.85619,0.111371584,0.07489170951843262,5672.487128973007,75000
3.26928,-7.5642776,2.2692833,0.053192314,35.21109,0.9999967,-35.210976,1.0,1.3267709,0.0,-28.457834,-79.044,8.3101635,-9.205329,131.78885,1.0662829,-28.026379,-78.82756,0.08021605,3.2934663,-7.644887,2.2934663,0.0733448,34.792084,1.0,-34.792084,1.0,69.29025,0.0,-27.72361,-78.487076,0.848757,-27.348885,-78.26311,0.08382422,0.07455274310111999,6045.250856161118,80000
3.2715974,-7.5719914,2.2715974,0.055120748,35.115704,1.0,-35.115704,1.0,0.7915448,0.0,-28.477448,-80.07367,3.605926,-3.4964738,57.99956,0.65205204,-28.070415,-79.8985,0.066338055,3.2922492,-7.64083,2.2922492,0.07233043,36.307137,1.0,-36.307137,1.0,68.97914,0.0,-28.759844,-78.93397,0.57640713,-28.34256,-78.7271,0.065261826,0.07430010662078858,6416.751402616501,85000
3.2744803,-7.5816,2.2744803,0.057523005,35.35549,1.0,-35.35549,1.0,1.0740473,0.0,-30.112171,-78.9608,4.61829,-4.3432527,90.543236,0.7283217,-29.676699,-78.63344,0.090349704,3.2904065,-7.6346884,2.2904067,0.07079505,35.976624,0.99999976,-35.976616,1.0,73.37277,0.0,-29.345005,-79.815155,0.9963753,-28.950994,-79.856346,0.08798012,0.07415745177268981,6787.538672924042,90000
3.2688167,-7.562722,2.2688167,0.052803546,35.573692,1.0,-35.573692,1.0,0.78978646,0.0,-28.551437,-79.1112,4.4445705,-5.326153,52.467865,0.7494472,-28.158897,-78.89764,0.08068474,3.2952843,-7.650947,2.2952843,0.074859686,35.51163,1.0,-35.51163,1.0,70.98457,0.0,-28.987282,-78.401306,0.74312997,-28.60981,-78.170715,0.09360798,0.07451702957153321,7160.123831748962,95000
3.2661884,-7.5539613,2.2661884,0.050613247,35.64372,1.0,-35.64372,1.0,0.9369011,0.0,-28.767841,-79.79191,2.252592,-4.1307497,60.948868,0.60279524,-28.397873,-79.556145,0.07822679,3.2962646,-7.6542225,2.2962668,0.0756785,34.27366,0.9999978,-34.273582,1.0,70.84008,0.0,-29.351406,-79.2344,0.7948197,-28.948792,-79.024864,0.08581281,0.07453317770957947,7532.789730548859,100000
3.2713478,-7.5711613,2.2713485,0.054913335,36.10919,0.99999934,-36.10917,1.0,0.945001,0.0,-28.5608,-80.38943,4.3842454,-5.558853,68.403496,0.8776303,-28.200424,-80.184105,0.08607084,3.2980046,-7.660015,2.2980046,0.077126816,35.515766,1.0,-35.515766,1.0,72.27026,0.0,-28.737915,-80.18864,0.6881421,-28.371742,-79.87303,0.08454443,0.08179694490432739,7941.774464607239,105000
3.2685866,-7.5619545,2.2685866,0.052611627,36.384422,1.0,-36.384422,1.0,0.9110185,0.0,-30.445112,-79.56726,2.1424046,-2.6463194,41.853447,0.74024165,-30.160576,-79.36882,0.10975437,3.2860107,-7.6201034,2.2860312,0.067148864,35.58097,0.9999796,-35.580246,1.0,74.524826,0.0,-29.350574,-80.16308,0.9158165,-29.037872,-79.866295,0.09915973,0.08420526413917541,8362.80079460144,110000
3.270637,-7.5688014,2.2706404,0.054323368,35.777435,0.9999968,-35.77732,1.0,0.9026457,0.0,-28.669922,-80.4716,2.103866,-1.7448814,32.23137,0.4922009,-28.293741,-80.26283,0.08870278,3.291171,-7.6372366,2.291171,0.071432084,35.843483,1.0,-35.843483,1.0,72.97139,0.0,-27.39033,-79.928276,0.655017,-27.01094,-79.724945,0.10332546,0.07396598491668702,8732.630734920502,115000
3.2651417,-7.5504723,2.2651417,0.049740992,34.805695,1.0,-34.805695,1.0,1.0310719,0.0,-29.494513,-81.11093,5.0770698,-4.4576864,59.60812,1.03733,-29.12155,-80.92019,0.082856074,3.287206,-7.624052,2.2872157,0.06813604,36.92104,0.99999017,-36.920677,1.0,76.45987,0.048299443,-27.785511,-80.81655,1.0290401,-27.46706,-80.623634,0.06794948,0.0739888334274292,9102.574914693832,120000
3.2677863,-7.559288,2.2677863,0.051944844,35.299713,1.0,-35.299713,1.0,0.8829955,0.0,-28.349682,-81.861885,3.3322976,-2.482853,45.88524,0.87642574,-27.99671,-81.7272,0.066276014,3.2897613,-7.632553,2.289766,0.070261285,36.795967,0.99999523,-36.79579,1.0,76.44218,0.0,-29.04242,-80.62972,0.88336766,-28.720615,-80.43555,0.08072661,0.07407253623008728,9472.937608718872,125000
3.2656746,-7.55225,2.265675,0.05018556,34.946396,0.9999996,-34.94638,1.0,1.1295885,0.0,-28.287663,-81.2665,5.011119,-5.100711,85.97243,0.5663658,-28.00626,-81.07753,0.09915017,3.292029,-7.6400967,2.292029,0.07214706,36.448036,1.0,-36.448036,1.0,80.26549,0.0,-30.374971,-80.88944,0.89749575,-30.078558,-80.597694,0.08082238,0.07397668285369872,9842.821036338806,130000
3.2674756,-7.5582523,2.2674756,0.05168595,35.67742,1.0,-35.67742,1.0,0.8819944,0.0,-30.93775,-81.822174,2.9189167,-2.8375666,40.27292,0.6163264,-30.552677,-81.64273,0.09759298,3.296926,-7.656427,2.296928,0.076229684,34.77605,0.99999815,-34.775986,1.0,83.31999,0.0029171098,-30.542282,-81.299255,0.7446736,-30.197088,-81.10975,0.107784554,0.07404695463180543,10213.05581688881,135000
3.2678037,-7.5593457,2.2678037,0.051959384,34.777386,0.9999999,-34.77738,1.0,0.8668642,0.0,-28.938812,-80.31242,8.14643,-6.7640924,53.760246,1.1311138,-28.561327,-80.20868,0.07859969,3.2878623,-7.6262074,2.2878623,0.06867473,36.10697,1.0,-36.10697,1.0,81.01388,0.0,-28.005575,-81.283775,0.46317813,-27.668226,-81.103134,0.09341657,0.07436683144569398,10584.89002752304,140000
3.2671616,-7.5572042,2.2671616,0.051424123,34.85349,1.0,-34.85349,1.0,1.0181692,0.0,-30.611858,-81.53247,5.911277,-5.239297,69.30102,0.61560047,-30.279873,-81.34643,0.08905874,3.2929075,-7.6430273,2.2929082,0.07287969,36.832462,0.9999993,-36.832436,1.0,84.688774,0.0,-28.821875,-81.08553,0.45803395,-28.459702,-80.894394,0.0870089,0.07465817670822143,10958.180926322937,145000
3.269652,-7.5655055,2.269652,0.053499416,35.855553,1.0,-35.855553,1.0,0.9159183,0.0,-29.745972,-81.70674,3.113383,-3.4201918,49.103638,0.7154402,-29.386713,-81.339325,0.095564574,3.286358,-7.621193,2.286358,0.0674213,38.05807,1.0,-38.05807,1.0,82.60034,0.0,-28.324814,-81.754745,0.6273025,-27.98518,-81.57042,0.0994395,0.07513934903144837,11333.877681016922,150000
3.2700634,-7.566878,2.2700634,0.053842448,36.643734,1.0,-36.643734,1.0,1.0823996,0.0,-28.301392,-82.36792,3.9212313,-3.9445958,51.868935,0.9780678,-27.997978,-82.21304,0.09007358,3.2900143,-7.6333814,2.2900143,0.07046829,37.95196,1.0,-37.95196,1.0,89.365944,0.0,-30.541233,-81.731415,0.58950734,-30.195131,-81.54698,0.0962334,0.07514032664299011,11709.579326868057,155000
3.2675056,-7.558352,2.2675056,0.051710986,36.1121,1.0,-36.1121,1.0,1.046541,0.0,-29.367361,-81.767494,4.3691697,-4.0209637,55.636616,0.75317866,-29.064697,-81.61508,0.08649422,3.2893367,-7.631218,2.2893653,0.0699274,36.541245,0.9999714,-36.5402,1.0,87.36987,0.0,-29.535538,-81.7095,0.7189294,-29.258167,-81.52458,0.08691639,0.07515730214118957,12085.365851402283,160000
3.2614007,-7.538002,2.2614007,0.04662347,35.61944,1.0,-35.61944,1.0,0.6896434,0.0,-29.9359,-81.89531,2.9425013,-3.3780417,28.982235,0.96309274,-29.609058,-81.71893,0.100821905,3.293919,-7.646418,2.2939255,0.07372746,37.221703,0.9999936,-37.221466,1.0,86.29876,0.0,-30.009289,-81.85558,0.54261,-29.707272,-81.69221,0.10948267,0.07465699887275695,12458.650859117508,165000
3.2663295,-7.5544376,2.2663312,0.050732404,37.101852,0.9999983,-37.101788,1.0,0.9299057,0.0,-29.948658,-80.15666,4.7644596,-5.2087927,54.699486,0.69820726,-29.626282,-79.95701,0.08071339,3.2911558,-7.6371856,2.2911558,0.071419366,36.584034,1.0,-36.584034,1.0,89.46008,0.0,-30.864086,-82.10416,0.59577155,-30.496904,-81.92386,0.08402954,0.07410583972930908,12829.180065393448,170000
3.2689223,-7.563074,2.2689223,0.052891638,35.461166,1.0,-35.461166,1.0,0.764327,0.0,-29.695412,-81.52653,2.5813646,-2.237425,43.57748,0.49978197,-29.39926,-81.34049,0.092966184,3.2904205,-7.6347346,2.2904205,0.07080665,36.828197,1.0,-36.828197,1.0,90.62951,0.0,-29.30583,-83.30343,0.59094644,-29.036459,-83.14322,0.07946125,0.07403512630462647,13199.35571026802,175000
3.2652383,-7.5507946,2.2652383,0.04982156,35.433014,1.0,-35.433014,1.0,1.045602,0.0,-31.039951,-81.810776,4.154754,-5.5275445,67.10211,0.8409669,-30.820778,-81.81845,0.089035496,3.2925513,-7.641838,2.2925513,0.07258242,34.025787,1.0,-34.025787,1.0,100.04202,0.0,-30.603909,-83.64888,0.7684991,-30.375166,-83.50479,0.09230956,0.07395320448875427,13569.121747016907,180000
3.2666855,-7.5556173,2.2666855,0.05102741,37.807335,1.0,-37.807335,1.0,0.83213055,0.0,-29.53787,-81.10207,11.917685,-5.520133,65.92057,0.6246283,-29.257992,-80.90916,0.08367062,3.295681,-7.6522865,2.295686,0.0751946,35.81694,0.9999951,-35.816765,1.0,98.65,0.0,-29.852606,-80.59676,0.62357765,-29.59278,-80.35918,0.10130657,0.07438864364624023,13941.064979553223,185000
3.2650242,-7.5500813,2.2650242,0.049643174,36.636833,1.0,-36.636833,1.0,0.82290596,0.0,-28.1307,-80.048744,3.2394526,-2.071239,29.1557,0.59527,-27.854729,-79.70624,0.09985926,3.2923007,-7.6410017,2.2923007,0.07237331,35.51699,1.0,-35.51699,1.0,106.09237,0.0,-30.733997,-82.5163,0.6278142,-30.389297,-82.41998,0.0909067,0.07454549565315247,14313.79246878624,190000
3.26829,-7.5609674,2.26829,0.05236476,36.147373,1.0,-36.147373,1.0,1.1969043,0.0,-29.287014,-83.61282,5.8634157,-6.9191732,73.876625,0.6920753,-28.954319,-83.38256,0.09358692,3.2946727,-7.648977,2.294693,0.07436718,35.72087,0.99997973,-35.720146,1.0,109.0922,0.0,-31.342522,-82.76779,0.6113579,-31.082747,-82.5935,0.09519173,0.07455857310295105,14686.585347652435,195000
3.265265,-7.550896,2.2652688,0.049847007,36.011772,0.9999962,-36.011635,1.0,0.9895363,0.0,-28.97566,-82.21664,2.989314,-4.270811,54.477962,0.43985018,-28.660975,-82.03698,0.09065287,3.2953238,-7.65108,2.2953238,0.0748929,36.29636,1.0,-36.29636,1.0,106.72341,0.0,-30.25482,-83.61493,0.5625918,-29.969074,-83.449524,0.11127482,0.07441738052368164,15058.672261238098,200000
3.2649925,-7.549974,2.2649925,0.049616486,35.227253,1.0,-35.227253,1.0,0.8128828,0.0,-27.95437,-82.32576,3.250008,-4.2089906,44.655067,0.43834072,-27.65575,-82.16611,0.12102055,3.2939546,-7.646601,2.2939804,0.073773295,36.89653,0.99997425,-36.89558,1.0,105.541916,0.0,-29.71252,-82.80354,0.48635948,-29.439173,-82.59737,0.09264982,0.08266082820892334,15471.976411819458,205000
3.2642632,-7.5475435,2.2642632,0.049008925,34.81954,1.0,-34.81954,1.0,0.8834454,0.0,-28.094688,-82.421196,4.524314,-4.8161054,62.39339,0.5311722,-27.809772,-82.24211,0.06988011,3.295446,-7.6514854,2.295446,0.07499428,35.89592,1.0,-35.89592,1.0,104.73392,0.0,-29.17916,-82.603226,0.4175623,-28.896362,-82.42756,0.09772197,0.07397471199035645,15841.849983930588,210000
3.261919,-7.5397296,2.261919,0.04705535,35.707825,1.0,-35.707825,1.0,0.8543276,0.0,-29.029459,-82.62055,3.7869272,-8.24663,42.560707,0.45922244,-28.708649,-82.46354,0.09272355,3.29672,-7.6557426,2.296723,0.0760586,36.177967,0.99999714,-36.177864,1.0,115.99457,0.0,-31.283974,-82.70925,0.8102192,-30.991749,-82.51386,0.09229073,0.07290882320404053,16206.394110918045,215000
3.261746,-7.539153,2.261746,0.046911232,36.313957,1.0,-36.313957,1.0,0.59126645,0.0,-30.053951,-83.17308,1.1431406,-2.3957925,18.123068,0.94946057,-29.769081,-82.8871,0.08306091,3.2959318,-7.6532035,2.2959611,0.0754239,36.11071,0.99997056,-36.109646,1.0,112.83136,0.0,-30.238792,-82.815346,0.52013093,-29.93434,-82.66172,0.08215867,0.07294673557281495,16571.12780022621,220000
3.2675695,-7.5585704,2.2675714,0.0517656,36.132935,0.9999981,-36.132866,1.0,0.8067582,0.68190086,-30.2034,-82.34801,1.3027587,-2.217651,32.415802,1.5634528,-29.929197,-82.18818,0.11204803,3.2913816,-7.637938,2.2913816,0.07160753,37.542496,1.0,-37.542496,1.0,112.87947,0.0,-29.469784,-83.7736,0.4271477,-29.229462,-83.64641,0.13586643,0.07288511753082276,16935.55340075493,225000
3.269239,-7.56413,2.269239,0.053155348,37.001293,1.0,-37.001293,1.0,0.9664268,0.0,-30.446762,-83.01927,2.9949386,-3.9204166,46.422318,0.6352788,-30.107296,-82.85311,0.11559871,3.2914686,-7.638228,2.2914686,0.071679994,36.21524,1.0,-36.21524,1.0,112.69209,0.0,-29.054228,-83.08114,0.5565356,-28.766907,-82.89435,0.10996173,0.07288409671783447,17299.973895549774,230000
3.2627237,-7.5424123,2.2627237,0.04772603,35.529655,1.0,-35.529655,1.0,0.6465671,0.0,-30.01768,-82.65532,2.8859067,-3.4095182,53.861595,0.6111905,-29.712715,-82.47938,0.090864986,3.2965052,-7.6550694,2.296521,0.07589033,37.269676,0.99998426,-37.26909,1.0,114.56295,0.0,-29.09771,-83.793465,0.5719662,-28.841564,-83.658295,0.10215614,0.0728737943649292,17664.34287929535,235000
3.2635176,-7.5450726,2.263522,0.04839117,37.770992,0.99999565,-37.77083,1.0,0.78803146,0.0,-31.530216,-83.92332,6.945266,-9.207762,65.64898,0.49561208,-31.258507,-83.686554,0.085482076,3.2898088,-7.632695,2.2898088,0.070296876,36.581886,1.0,-36.581886,1.0,121.255066,0.0,-30.243593,-83.95274,0.716414,-29.962902,-83.79027,0.11036293,0.0727926290512085,18028.306035995483,240000
3.2633226,-7.5444126,2.2633238,0.048226062,37.03437,0.99999887,-37.03433,1.0,0.8068033,0.0,-30.286278,-84.10344,4.239891,-4.5448403,72.401474,0.63135886,-30.041279,-83.965256,0.10434407,3.2939599,-7.646532,2.2939599,0.07375601,35.75427,1.0,-35.75427,1.0,120.23776,0.0,-30.017723,-84.02905,0.83779275,-29.686161,-83.85129,0.14146236,0.07285849785804749,18392.598536252975,245000
3.2652023,-7.5506744,2.2652025,0.049791712,37.50539,0.9999998,-37.505383,1.0,0.8722209,0.0,-29.444065,-83.59726,3.1772153,-8.034075,40.907173,0.7564427,-29.121313,-83.43581,0.08861197,3.2926269,-7.64209,2.2926269,0.07264543,35.944256,1.0,-35.944256,1.0,125.201744,0.0,-30.49232,-84.04853,0.9535997,-30.180538,-83.89673,0.108511806,0.07284129762649535,18756.805037736893,250000
3.2610044,-7.536681,2.2610044,0.046293207,36.403107,1.0,-36.403107,1.0,1.162576,0.0,-30.36124,-82.5911,11.92901,-4.659692,80.42682,0.5131769,-30.020815,-82.414314,0.10772767,3.3023098,-7.674365,2.3023098,0.08071421,36.46454,1.0,-36.46454,1.0,130.30681,0.0,-30.51467,-83.68865,0.46131036,-30.233889,-83.48881,0.23623672,0.07285092940330505,19121.059697389603,255000
3.26222,-7.540733,2.26222,0.047306098,36.831535,1.0,-36.831535,1.0,0.8701647,0.0,-29.820324,-84.3967,19.099014,-12.5385895,82.52507,0.948547,-29.531845,-84.238625,0.0831382,3.3022227,-7.674169,2.3022509,0.080665305,37.774048,0.9999719,-37.772987,1.0,129.06699,0.0,-30.674982,-83.9913,0.8882221,-30.374857,-83.83723,0.112081036,0.07288092255592346,19485.464322328568,260000
3.2636538,-7.545512,2.2636538,0.048501037,37.688377,1.0,-37.688377,1.0,1.061384,0.0,-29.681805,-84.926735,5.5034485,-5.00513,56.650337,0.6139607,-29.40781,-84.77318,0.100241475,3.2941568,-7.647234,2.2941704,0.073931485,37.560238,0.9999864,-37.559727,1.0,130.19914,0.0,-29.529766,-83.32437,0.6593344,-29.240519,-83.20138,0.105013415,0.07285186834335328,19849.723675966263,265000
3.2618675,-7.539558,2.2618675,0.04701246,38.233227,1.0,-38.233227,1.0,0.8969017,0.0,-29.144943,-84.3814,4.6057367,-6.7259583,61.284847,0.82302797,-28.759459,-84.20833,0.09867448,3.2922013,-7.640671,2.2922013,0.07229059,37.0685,1.0,-37.0685,1.0,130.40245,0.0,-30.381573,-82.56226,0.800748,-30.042437,-82.433075,0.114885546,0.0728626660823822,20214.03701901436,270000
3.2611613,-7.537204,2.2611613,0.046423912,36.71615,1.0,-36.71615,1.0,0.7377424,0.0,-29.200726,-82.30718,3.3177674,-2.8716998,46.24614,0.8363942,-28.83648,-82.09258,0.068769634,3.2927358,-7.6426086,2.2927828,0.07277511,36.643223,0.999953,-36.6415,1.0,136.26332,0.0,-30.531862,-83.188545,0.79423124,-30.175182,-83.065674,0.10408611,0.07288367195129394,20578.455391168594,275000
3.2638435,-7.5461454,2.2638435,0.04865923,37.225983,1.0,-37.225983,1.0,0.8033813,0.0,-29.617624,-83.324394,2.6866317,-3.1666985,37.918324,0.5197601,-29.260426,-83.19861,0.13919763,3.2980912,-7.660303,2.2980912,0.07719877,36.434395,1.0,-36.434395,1.0,135.9578,0.0,-30.531115,-83.32911,0.94748116,-30.21806,-83.16019,0.12051515,0.07283526225090027,20942.63171505928,280000
3.265227,-7.5507565,2.265227,0.04981205,36.26088,1.0,-36.26088,1.0,0.6915276,0.0,-30.617258,-85.0322,2.946576,-1.6790335,26.781157,0.6607807,-30.285965,-84.88061,0.07996236,3.2929373,-7.6431236,2.2929373,0.07290381,37.058617,1.0,-37.058617,1.0,143.02594,0.0,-31.14418,-84.93605,0.66657656,-30.789463,-84.49853,0.09369153,0.07284595685005188,21306.861506462097,285000
3.262689,-7.5422964,2.262689,0.047697045,37.40117,1.0,-37.40117,1.0,0.9203266,0.0,-30.798435,-84.19353,4.529351,-3.8642583,56.30757,0.6817054,-30.428684,-84.033844,0.09905967,3.2889528,-7.6298423,2.2889528,0.06958352,34.54504,1.0,-34.54504,1.0,141.33846,0.0,-30.27052,-84.43348,0.9490986,-29.913109,-84.29487,0.10135126,0.07284259209632873,21671.074479341507,290000
3.2602618,-7.5342054,2.2602618,0.0456744,36.51274,1.0,-36.51274,1.0,0.6804377,0.0,-29.93702,-84.722534,1.4937845,-4.1704025,29.771969,0.7118763,-29.639662,-84.53465,0.0809039,3.2989764,-7.663269,2.2989807,0.0779403,36.3194,0.9999957,-36.319244,1.0,147.40576,0.0,-31.869762,-84.48952,1.0120904,-31.527935,-84.34858,0.12921046,0.07285988826751709,22035.373933553696,295000
3.2660975,-7.5536585,2.2660975,0.050537556,35.294167,1.0,-35.294167,1.0,0.8633516,0.0,-29.029964,-85.11169,7.2393765,-2.5653872,37.477608,0.56048596,-28.71275,-84.96068,0.11236098,3.2908223,-7.6360745,2.2908223,0.07114155,36.78164,1.0,-36.78164,1.0,141.99509,0.0,-31.112389,-84.584114,0.38188046,-30.797865,-84.42868,0.07897753,0.07285668921470642,22399.657392024994,300000
3.2622466,-7.540826,2.262248,0.04732944,36.707,0.9999986,-36.70695,1.0,0.8029654,0.0,-30.477856,-85.076004,4.380476,-6.6055193,58.160896,0.7874876,-30.148561,-84.92521,0.087183006,3.3020651,-7.6735497,2.3020651,0.08051045,37.109535,1.0,-37.109535,1.0,145.25961,0.0,-30.934336,-84.2208,0.86431324,-30.62017,-84.04922,0.16455957,0.07968947010040284,22798.10475420952,305000
